,AD,Full-flowering date (DOY),Full-flowering date,Source code,Data type code,Reference Name,trendline_degree1,trendline_degree2,trendline_degree3,trendline_degree4
874,1675,111,421,3,1,GYOJO-HOSSINNO-NIKKI [TOJI],104.26795231800877,105.24947099297077,106.24129611416696,106.47601351033126
875,1676,103,412,3,2,GYOJO-HOSSINNO-NIKKI,104.26643874910332,105.24217794822303,106.23637922666848,106.48409087954047
876,1677,96,406,7,1,MUJOHOINDONO-GONIKKI,104.26492518019786,105.23485373224686,106.23138649387093,106.492090541648
877,1678,109,419,3,1,GYOJO-HOSSINNO-NIKKI [HIGASHI-IWAKURA],104.26341161129241,105.22749834504225,106.22631770095089,106.50001140843887
878,1679,114,424,7,2,MUJOHOINDONO-GONIKKI,104.26189804238695,105.22011178660921,106.2211726330848,106.50785238776535
879,1680,109,418,3,1,GYOJO-HOSSINNO-NIKKI [KIYOMIZU-CHIONIN],104.2603844734815,105.21269405694771,106.2159510754491,106.51561238354606
880,1681,110,420,3,3,OYUDONONO-UENO-NIKKI [EDA],104.25887090457604,105.20524515605779,106.21065281322028,106.52329029576418
881,1682,104,414,3,1,GYOJO-HOSSINNO-NIKKI [HIGASHIYAMA],104.25735733567059,105.19776508393943,106.20527763157477,106.53088502046938
882,1683,108,418,3,2,ITO-JINSAI-NIKKI,104.25584376676512,105.19025384059262,106.19982531568904,106.53839544977762
883,1684,118,427,3,1,GYOJO-HOSSINNO-NIKKI [HIGASHIYAMA],104.25433019785967,105.18271142601739,106.19429565073958,106.54582047187245
884,1685,106,416,3,3,OYUDONONO-UENO-NIKKI [EDA],104.25281662895422,105.17513784021372,106.18868842190288,106.55315897100189
885,1686,104,414,3,1,GYOJO-HOSSINNO-NIKKI,104.25130306004877,105.16753308318161,106.18300341435528,106.56040982747885
886,1687,104,414,3,1,GYOJO-HOSSINNO-NIKKI [HIGASHIYAMA],104.24978949114332,105.15989715492105,106.17724041327338,106.56757191768514
887,1688,114,423,3,2,GYOJO-HOSSINNO-NIKKI,104.24827592223785,105.15223005543207,106.17139920383362,106.5746441140679
888,1689,97,407,3,1,GYOJO-HOSSINNO-NIKKI [KOSAKATEI],104.2467623533324,105.14453178471464,106.1654795712124,106.5816252851385
889,1690,93,403,3,2,GYOJO-HOSSINNO-NIKKI [KOSAKATEI],104.24524878442695,105.13680234276879,106.15948130058621,106.58851429547616
890,1691,103,413,3,2,GYOJO-HOSSINNO-NIKKI [HIGASHIYAMA],104.2437352155215,105.12904172959449,106.15340417713152,106.59531000572639
891,1692,109,418,3,2,GYOJO-HOSSINNO-NIKKI [CHIONIN],104.24222164661603,105.12124994519175,106.14724798602487,106.60201127260024
892,1693,107,417,3,2,GYOJO-HOSSINNO-NIKKI [HIGASHIYAMA],104.24070807771058,105.11342698956058,106.14101251244257,106.6086169488753
893,1694,109,419,3,2,MYOHOIN-HINAMIKI,104.23919450880513,105.10557286270097,106.13469754156127,106.61512588339343
894,1695,120,430,3,2,MYOHOIN-HINAMIKI,104.23768093989968,105.09768756461293,106.12830285855726,106.62153692106455
895,1696,114,423,4,1,MOTOKAZU-KYOKI,104.23616737099421,105.08977109529644,106.12182824860706,106.62784890286554
896,1697,111,421,4,2,SADAMOTO-KYOKI,104.23465380208876,105.08182345475151,106.11527349688724,106.63406066583667
897,1698,101,411,4,2,MOTOKAZU-KYOKI,104.2331402331833,105.07384464297814,106.10863838857415,106.64017104308545
898,1699,97,407,4,2,MOTOHIRO-KOKI,104.23162666427785,105.06583465997636,106.10192270884426,106.64617886378625
899,1700,116,426,3,2,CHIONIN-NICHIKAGAMI,104.23011309537239,105.05779350574612,106.09512624287404,106.65208295317922
900,1701,112,422,4,2,MOTOKAZU-KYOKI,104.22859952646694,105.04972118028745,106.08824877584,106.65788213257048
901,1702,116,426,4,2,MOTOHIRO-KOKI,104.22708595756148,105.04161768360034,106.08129009291861,106.66357521933088
902,1703,103,413,3,1,MYOHOIN-HINAMIKI,104.22557238865603,105.03348301568478,106.07424997928622,106.6691610269001
903,1704,113,422,3,2,MYOHOIN-HINAMIKI,104.22405881975058,105.0253171765408,106.06712822011941,106.67463836478208
904,1705,109,419,3,1,MYOHOIN-HINAMIKI,104.22254525084512,105.01712016616838,106.05992460059466,106.68000603854722
905,1706,115,425,4,1,KANEKA-KYOKI,104.22103168193966,105.00889198456753,106.05263890588834,106.68526284983199
906,1707,111,421,3,1,MYOHOIN-HINAMIKI,104.21951811303421,105.00063263173823,106.04527092117699,106.69040759633896
907,1708,103,412,4,1,MOTOHIRO-KOKI,104.21800454412876,104.99234210768049,106.03782043163699,106.69543907183657
908,1709,106,416,4,2,MOTOHIRO-KOKI,104.2164909752233,104.98402041239432,106.03028722244491,106.70035606616096
912,1713,104,414,3,1,MYOHOIN-HINAMIKI,104.21043669960147,104.95042191896525,105.99932289268452,106.71885489073003
913,1714,108,418,3,1,MYOHOIN-HINAMIKI,104.20892313069602,104.94194436753689,105.99137286287872,106.72318118902177
914,1715,107,417,3,2,CHIONIN-NICHIKAGAMI,104.20740956179057,104.93343564488009,105.98333882447959,106.72738566253628
915,1716,110,419,3,1,MYOHOIN-HINAMIKI,104.20589599288512,104.92489575099486,105.97522056266357,106.73146707357222
916,1717,98,408,4,1,MOTOHIRO-KOKI,104.20438242397967,104.9163246858812,105.96701786260715,106.73542418049368
917,1718,102,412,4,1,MOTOHIRO-KOKI,104.2028688550742,104.90772244953908,105.95873050948676,106.7392557377296
918,1719,102,412,4,1,MOTOHIRO-KOKI,104.20135528616875,104.89908904196854,105.95035828847887,106.74296049577612
919,1720,114,423,4,1,NAKANOIN-MICHIEDAKI,104.1998417172633,104.89042446316955,105.94190098475998,106.74653720119517
920,1721,95,405,4,1,MOTOHIRO-KOKI,104.19832814835785,104.88172871314214,105.93335838350652,106.74998459661612
921,1722,100,410,4,1,MOTOHIRO-KOKI,104.19681457945238,104.87300179188628,105.92473026989504,106.75330142073238
922,1723,104,414,4,1,KIMIAKI-KYOKI,104.19530101054693,104.86424369940198,105.91601642910182,106.75648640830292
923,1724,99,408,3,2,MYOHOIN-HINAMIKI,104.19378744164148,104.85545443568925,105.9072166463035,106.7595382901564
924,1725,106,416,4,2,MOTONAGA-KYOKI,104.19227387273602,104.84663400074808,105.89833070667646,106.76245579318464
925,1726,116,426,3,2,KAIKI,104.19076030383056,104.83778239457847,105.88935839539722,106.7652376403467
926,1727,112,422,3,2,KAIKI,104.1892467349251,104.82889961718043,105.88029949764218,106.76788255066589
927,1728,104,413,3,2,KAIKI,104.18773316601965,104.81998566855394,105.87115379858783,106.77038923923459
928,1729,105,415,4,1,MYOHOIN-HINAMIKI,104.1862195971142,104.81104054869903,105.86192108341065,106.77275641720911
930,1731,104,414,4,2,MITSUTSUNA-KYOKI,104.18319245930329,104.79305679530387,105.84319374539358,106.77706706633586
931,1732,108,417,3,2,GYOKYO-HOSSINNO-NIKKI,104.18167889039783,104.78401816176364,105.83369869290671,106.77900794013186
932,1733,107,417,3,2,MYOHOIN-HINAMIKI,104.18016532149238,104.77494835699497,105.82411576500277,106.7808041086243
933,1734,102,412,3,2,MYOHOIN-HINAMIKI [ARASHIYAMA],104.17865175258693,104.76584738099785,105.81444474685836,106.78245426329835
934,1735,101,411,3,2,MYOHOIN-HINAMIKI,104.17713818368146,104.75671523377233,105.80468542364986,106.78395709170883
935,1736,106,415,4,1,MICHIE-KOKI,104.17562461477601,104.74755191531834,105.79483758055376,106.78531127747539
936,1737,93,403,3,2,MYOHOIN-HINAMIKI,104.17411104587056,104.73835742563591,105.78490100274661,106.78651550028479
